lot_sale_year,auction_house,title,artist_name,object_type,pounds
1838,Christie's,"A hilly landscape, with a group of trees on the bank of a road, on which are figures in conversation; a capital picture",De Vries,Painting,21
1838,Christie's,"An interior, with boors at cards and other figures; a clever effect of light from a window",J. Ostade,Painting,16
1838,Christie's,"Silenus, with Satyrs and Bacchantes; capitally painted",Rubens,Painting,14
1838,Christie's,"A combat with giants [The following Series of Six Subjects from Orlando are painted upon Panel, and designed for Sopra Porte]",M. di Ferrara,Painting,48
1803,Christie's,A large and grand Landscape and Figures in his best Manner,N. Poussin,Painting,33
1840,Christie's,"John Sheffield Earl of Mulgrave, afterwards Duke of Buckingham and Normanby  [Whole-lengths in the Robes of the Garter.]",Kneller,Painting,23
1840,Christie's,"Charles II. seated, wearing the robes of the Garter; capitally painted",Sir G. Kneller,Painting,25
1840,Christie's,"Henrietta Maria, in a white dress, and a yellow drapery behind her",Dobson,Painting,40
1840,Christie's,James Duke of York  [Whole-lengths in the Robes of the Garter.],Dobson,Painting,15
1840,Christie's,"The infant Christ, and St. John",Rubens,Painting,2
1805,King (Thomas) Junior,A Beautiful Landscape and Figures,Cuyp,Painting,15
1805,King (Thomas) Junior,Twelfth Night,Jan Steen,Painting,14
1805,Christie's,Pair of Landscapes with Ruins,Viviano,Painting,1
1805,Christie's,The Ballad Singer and Companion,Wheatley,Painting,14
1805,Christie's,"A Landscape, Cattle and Figures -- one of his best time",Both,Painting,20
1805,Christie's,"The Holy Family, in Chiaro Scuro -- engraved",Guido,Painting,9
1805,Christie's,An Allegorical Figure of Fame -- finely drawn and coloured,P. Cortona,Painting,20
1836,Foster (Edward),Portrait of a Lady with a boquet of Flowers,Vandyke,Painting,22
1836,Foster (Edward),The Nativity,J. Northcote,Painting,21
1836,Foster (Edward),Portrait of a Lady,Sir J. Reynolds,Painting,17
1839,Christie's,The murder of the Innocents; richly coloured,V. Castelli,Painting,13
1839,Christie's,"A mathematician, and his wife",Gonzales,Painting,73
1839,Christie's,"The Virgin and Child, and St. John",Vanni,Painting,16
1839,Christie's,A skirmish of cavalry -- unframed,E.V. de Velde,Painting,6
1839,Christie's,"Venus and Cupid, with a cavalier, seated at an organ",Titian,Painting,189
1839,Christie's,"St. Francis, praying before the Virgin",Venetian,Painting,32
1839,Christie's,"Peasants, with cattle, at the entrance of a cavern",Solmacker,Painting,13
1839,Christie's,The continence of Scipio,Van Loo,Painting,16
1838,Christie's,"A boar-hunt, unframed",Hondius,Painting,14
1803,Christie's,"A small Landscape with, Figures touched with infinite spirit; a fine Scene",Berghem,Painting,42
1803,Christie's,Boors Regaling,Brouwer,Painting,30
1803,Christie's,A Head of a Jew Rabbi,Rembrandt,Painting,96
1803,Christie's,St. Mathew writing the Gospel,Rembrandt,Painting,16
1803,Christie's,"A Landscape, View from Nature",Wynants,Painting,17
1803,Christie's,"A View in the Texel, with a Dutch Fleet waiting to receive the Prince of Orange, a rich Scene",W. Van De Velde,Painting,25
1803,Christie's,"Portrait of a Turkish Nobleman, very capital.",Rembrandt,Painting,136
1838,Christie's,"The Haymakers [The celebrated Illustrations to Thomson's Seasons, by Smirke, R.A.]","Smirke, R.A.",Painting,19
1838,Christie's,A shipwreck near the entrance of Teignmouth harbour; powerfully painted,Thomas Luny,Painting,6
1838,Christie's,The presentation,Francesco Bassano,Painting,5
1838,Christie's,"The Solent, with two cutters, and other vessels, in a stiff breeze, Hurst Castle in the distance; coloured with grand effect",Thomas Luny,Painting,5
1838,Christie's,"View of the Island of Ithica, with figures; evening scene",Thomas Luny,Painting,5
1838,Christie's,"His own portrait, which has been until this time in the possession of the family.  The picture has been worked upon by Gainsborough-Dupont",Gainsborough,Painting,19
1840,Christie's,"View of the Church of Sta. Maria della Saululte, with gondolas and figures on the grand canal",Canaletti,Painting,52
1840,Christie's,"The Magdalen, in contemplation, in a landscape",Annibal Carracci,Painting,3
1839,Christie's,An upright landscape with a waterfall,S. Rosa,Painting,18
1839,Christie's,"A landscape, with cattle and cottages",Hobbima,Painting,50
1840,Christie's,"A beggar standing under an archway, through which are seen figures at the door of a cabaret; brilliantly coloured",Ostade,Painting,19
1837,Christie's,The Virgin Child and St. John,F. Bartolomeo,Painting,16
1837,Christie's,"The Roman soldiers casting lots for the garments of Christ; a grand composition, splendidly coloured",Salvator Rosa,Painting,26
1840,Christie's,"A landscape, with figures and cattle; admirably painted",Old Cuyp,Painting,32
1840,Christie's,A sea-piece with vessels; a fine specimen of this rare master,J. Garcia Hidalga,Painting,25
1840,Christie's,"A sea-shore, with boats and figures; effect of early morning",Luny,Painting,1
1840,Christie's,An extensive open landscape,Modern,Painting,1
1840,Christie's,"Brennus, king of the Gauls, reproving the Roman Ambassadors; a brilliant pasticcio in the manner of Poussin",Dietrich,Painting,15
1840,Christie's,"A legendary subject; a beautiful specimen, from the collection of the Count Demidoff",A. da Fiesole,Painting,17
1840,Christie's,The woman taken in adultery; painted with great brilliancy and transparent effect,Eckhout,Painting,13
1840,Christie's,"St. Joseph, with the infant Christ",Murillo,Painting,26
1840,Christie's,The overthrow of the rebel angels; a very spirited and fine design,Meadows,Painting,2
1840,Christie's,Females in a land storm; and a rocky landscape with an aqueduct,Vernet,Painting,11
1836,Foster (Edward),"Virgin, Child & St. John",Schidone,Painting,2
1836,Rainy (Alexander),Abraham discarding Hagar and Ishmael,Both,Painting,68
1836,Rainy (Alexander),Christ and the Woman at the Well,Moretto da Brescia,Painting,68
1836,Rainy (Alexander),Venus Attiring,Harlowe,Painting,26
1836,Rainy (Alexander),"A View of a Road-side, with Figures by Linglebach",Wynants,Painting,34
1836,Rainy (Alexander),An Alchymist in his Study,D. Teniers,Painting,16
1836,Rainy (Alexander),"A Grand Landscape, Bay of Salerno  This Picture was exhibited in the British Gallery in 1832",Pynaker,Painting,205
1836,Rainy (Alexander),"A Sea Piece, calm",De Vlieger,Painting,16
1836,Rainy (Alexander),"Jupiter and Leda, with Animals in the foreground  From the Williams' Collection.  The Works of this Artist are extremely scarce",Pedro de Moya + [A Pupil of Vandyke],Painting,28
1804,Christie's,Cattle in a Landscape,De Marne,Painting,10
1804,Christie's,"A View of Furness Abbey, with a Group of Cattle",Turner,Painting,35
1804,Christie's,A View from Nature,Mannkirsch,Painting,14
1804,Christie's,"The Girl and Fortune Teller, finely painted",Opie,Painting,36
1836,Foster (Edward),Moonlight Landscape,Crome,Painting,4
1836,Foster (Edward),A highly finished Portrait of Lord Wm. Russell,Sir P. Lely,Painting,21
1837,Christie's,"A sea-piece, with vessels and boats in a breeze",W.V. de Velde,Painting,13
1836,Foster (Edward),Portrait of Sir John Minns,Vandyke,Painting,23
1836,Foster (Edward),"The Spirit of the Tempest; replete with poetry, and a correct representation of one of those extraordinary features of nature occasionally seen on the Coast of Norway",Danby,Painting,37
1836,Foster (Edward),"Roman Ruins; a grand composition, with Groups of elegant Figures, painted expressly for Lord Le Despencer",Panini,Painting,18
1836,Foster (Edward),Salvator Mundi; an admirable specimen of colour and replete with sentiment and appropriate expression.  Has been engraved,Rubens,Painting,22
1836,Foster (Edward),"A Village Kermiss at the decline of the day, with Figures dancing, and others wending their homeward way, exhibiting the effects of the carousal; an extraordinary specimen of this favorite master",D. Teniers,Painting,31
1836,Foster (Edward),Portrait of Prince Ferdinand; the handling and colour is worthy the great master.  Has been engraved,Rubens,Painting,13
1836,Foster (Edward),Tobit and the Angel,G. Poussin,Painting,21
1836,Foster (Edward),Adoration of the Magi; a sketch,Rubens,Painting,13
1837,Christie's,"The same view [A view on the grand canal, with many gondolas and figures] in an opposite direction",Canaletti,Painting,28
1837,Christie's,View near Southampton; fine effect of evening,Nasmyth,Painting,20
1837,Christie's,"A scene on the coast of Scotland, with figures in a boat, with mountainous distance; brilliantly lighted by an evening sun",Wilson,Painting,31
1837,Phillips (Harry),Head of a Madonna,C. Dolce,Painting,14
1837,Christie's,"The Virgin, Child, St. John, St. Elizabeth, and St. Joseph, an elegant picture in the school of L. da Vinci",L. Da Vinci,Painting,15
1837,Christie's,"The Holy Family, after",L. Da Vinci,Painting,23
1837,Christie's,"A sea-storm, with figures escaping from a wreck in the rocky foreground",Vernet,Painting,21
1837,Christie's,"A sea-piece -- calm, with fishing boats anchored near a jetty; coloured in a clear tone",Dubbels,Painting,16
1837,Christie's,"A landscape, with trees on a sandy bank near a pool of water; a beautiful subject",Ruysdael,Painting,42
1837,Christie's,"An Italian market-scene, with numerous figures, and poultry and vegetables; capitally painted",Helmbrecker,Painting,25
1837,Christie's,Venus rising from the sea,Titian,Painting,14
1837,Christie's,The Magdalen in contemplation; coloured with fine effect of chiaro-scuro,Carracci,Painting,16
1837,Christie's,"The embarkation at Scheveling, with numerous figures; a clever and interesting historical picture",Verschuring,Painting,18
1837,Christie's,"View of a palace, with cavaliers and ladies setting out for the chase",Hughenburg,Painting,13
1837,Christie's,"A view in Italy, with ruins, and mounted figures on the bank of a lake",De Heusch,Painting,14
1837,Christie's,An historical subject,J. Bourdon,Painting,14
1837,Christie's,"A view in Norway, with a water-fall; coloured with grand effect",Ruysdael,Painting,21
1837,Christie's,"A village on fire, figures escaping over a bridge in the foreground",Vanderneer,Painting,22
1837,Christie's,"St. Agnes reading, in a landscape; very elegant",Mignard,Painting,17
1837,Christie's,"A landscape, with shepherd and sheep; a capital picture",Morland,Painting,19
1839,Christie's,"Dido displaying to AEneas and his companions, the splendour of her city; a grand composition of rich architecture, and numerous elegant figures",V. der Ulft,Painting,22
1839,Christie's,"Cavaliers and horses, in a stable",Wouvermans,Painting,13
1839,Christie's,"A lady in a white and blue dress, with a spaniel in her lap; an exquisite specimen",Mieris,Painting,13
1837,Christie's,The convivial monkey,"Frazer, R.A.",Painting,1
1837,Christie's,The Alligator frigate in a gale,Hornbrook,Painting,18
1837,Christie's,"Venus and Cupid, with mythological figures; a grand composition",M. Angelo,Painting,14
1803,Greenwood,"A Church with Figures, by Polemberg",Steenwyck,Painting,10
1803,Greenwood,The Feast of the Gods,Polidore,Painting,13
1803,Greenwood,Adoration of the Shepherds,Giacomo Bassan,Painting,17
1839,Christie's,Halt of the horsemen at a suttler's booth,V. Falens,Painting,4
1839,Christie's,"Two sketches, and one by Stothard",Stothard,Painting,13
1805,Christie's,"The Forest of Arden with the wounded Stag, the Scene solemn and grand -- coloured and painted with wonderful spirit and effect",William Hodges,Painting,78
1805,Christie's,"Sir Hugh Evans, Pistol, Fenton, Mrs. Ford and Page, tormenting Falstaff in Windsor Park -- a singularly fine specimen of this charming painter, who in this picture has given us a rich display of his inventive powers, together with an elegant taste of drawing and fascinating tone",Smirke,Painting,42
1805,Christie's,"Abhorson, Clown and Provost -- full of humour, and painted in a fine clear tone of colouring",Smirke,Painting,23
1805,Christie's,"King Edward hunting at Middleham Park, Yorkshire",Miller,Painting,33
1805,Christie's,"Hero, Ursula and Beatrice -- A charmimg and interesting Picture, the colouring rich and brilliant",Peters,Painting,57
1805,Christie's,"Falstaff examining the Recruits -- full of humour and character, painted in a clear tone of colour",Durno,Painting,14
1805,Christie's,"Falstaff under Hearn's Oak, with Mrs. Ford and Page -- a charming specimen of the master",Smirke,Painting,21
1805,Christie's,"Romeo, Juliet and Paris in the Tomb of the Capulets -- finely composed, painted in a rich and harmonious tone with a wonderful effect of light, capital",Northcote,Painting,210
1805,Christie's,"Falstaff, Doll Tearsheet, Prince, and Poins, at the Boar's Head in Eastcheap -- a well composed and finely coloured Picture",Fuseli,Painting,16
1805,Christie's,"Ann Page inviting Master Slender to Dinner -- finely composed and drawn, and coloured in the most enchanting style, the characters admirably contrasted:  a chef d'oeuvre",Smirke,Painting,69
1805,Christie's,Lear with the Body of Cordelia -- grand and capital,Barry,Painting,31
1805,Christie's,"The Meeting of Hotspur, Worcester, Mortimer and Glendower at the Archdeacon's House, in Wales -- the drawing and expression admirable, with singularly fine and brilliant effect",Westall,Painting,40
1805,Christie's,"The Shepherd's Cot, from the Winter's Tale -- a spirited and brilliant picture",Hamilton,Painting,19
1805,Christie's,Richard the Second resigning the Crown to Bolingbroke -- a rich and grand composition,M. Brown,Painting,21
1805,Christie's,Imogen in Boy's Clothes -- of equal merit,Westall,Painting,16
1805,Christie's,The Masquerade scene in Henry the VIIIth. -- tastefully composed and coloured with surprising rich and brilliant effect,Stothard,Painting,42
1805,Christie's,"Ophelia appearing before the King and Queen -- finely composed, the characters admirably expressed, and painted in a rich clear tone of colouring; capital",West,Painting,131
1805,Christie's,The Death of Hotspur -- capital,Rigaud,Painting,21
1837,Christie's,"A view of Dort, with boats and figures",Cuyp,Painting,22
1837,Foster (Edward),Recumbent Venus with Cupids.,L. Giordano,Painting,20
1837,Foster (Edward),Portrait of a Gentleman.,Sir J. Reynolds,Painting,6
1805,Coxe (Peter),"A grand Landscape with Figures and Water -- a Morning Scene, the Sun rising",Claude,Painting,31
1805,Coxe (Peter),"An Infant St. John, a fine expressive countenance, the attitude easy and natural, and the colouring warm and beautiful",Murillio,Painting,15
1805,Coxe (Peter),"Landscape and Figures, classically treated",F. Bolognese,Painting,25
1805,Coxe (Peter),Squire Western giving the View Holloa on seeing Tom Jones seated by Sophia,Downman,Painting,17
1805,Coxe (Peter),"A most capital performance of this favorite master -- the water in motion, and most judiciously managed; the boats, sloops and ship well placed, and the tout ensemble the perfection of his art",Brooking,Painting,42
1805,Coxe (Peter),"A Sea Piece, a beautiful effect",Backhuysen,Painting,21
1836,Foster (Edward),A Portrait of the Countess of Derby,Vandyck,Painting,4
1805,Robins (John),"A Landscape, Cattle, and Figures -- exquisitely finished",Omeganck,Painting,18
1805,Robins (John),A grand Landscape and Figures -- a noble composition and in fine preservation,Glauber,Painting,44
1805,Robins (John),"The marriage of St. Catherine -- finely composed, drawn, and coloured",S. de Pesero,Painting,19
1848,Christie's,"An open Landscape, wih cows and sheep near a bank, with fallen timber; a river in the background -- warm afternoon sun.",Wynants,Painting,110
1848,Christie's,"A fresh Breeze, with men-of-war under sail, and a yacht tacking against the wind; figures in a fishing boat drawing a net -- the distance lighted by sunshine not yet covered by a coming squall.  From the collection of G. Hibbert, Esq.",Backhuyzen,Painting,283
1848,Christie's,"A Landscape, with a village church on a hill, partly concealed by trees, and peasants on a path.",Rembrandt,Painting,225
1848,Christie's,Savoyard Boys with Instruments -- a beautiful study.,Edmonston,Painting,56
1848,Christie's,"A View in Hampshire, with cottages and trees, and ducks in a pool of water.","Pat Nasmyth, 1830",Painting,210
1848,Christie's,A Street in Rome.,"Jones, R.A.",Painting,15
1848,Christie's,"A Calm with a man-of-war saluting officers in a low boat leaving the Admiral's ship, and a yacht and other vessels lying with their sails bent.",W. van de Velde,Painting,154
1848,Christie's,"Duch Men-of-War lying to off the Coast; a yacht firing a salute, and men pulling off in a boat -- stiff breeze.",Backhuyzen,Painting,125
1848,Christie's,Head of a young lady.,Sir T. Lawrence,Painting,32
1848,Christie's,"Philip Baptizing the Eunuch: the subject is introduced in a grand oriental scene, and a rich retinue of oriental figures are in attendance.","Linnell,1840",Painting,117
1848,Christie's,"A Roman Woman seated at an Altar, while a monk examines her two children -- Scene in the Chapel of St. Onofrio, at Rome, the burial place of Tasso.","Collins, R.A.",Painting,158
1848,Christie's,"The Rialto, with gondolas, and figures; and St. Mark's Place -- a pair.",Guardi,Painting,46
1848,Christie's,"An Italian Landscape, with Roman ruins and peasants keeping cattle.",Asselyn,Painting,90
1848,Christie's,"An Exterior, with a cart and figures unloading peat, which one is carrying up by a ladder == a canal in the back ground -- uprigh.",Ostade,Painting,99
1848,Christie's,"A Woman and Child coming to consult a Physician, who is seated in an apartment.",Thomas Wyck,Painting,17
1848,Christie's,The Battle of Waterloo -- a brilliant sketch.,"Jones, R.A.",Painting,22
1848,Christie's,Gypsies and an old Peasant with a Dog having his Fortune told.,Teniers,Painting,21
1839,Winstanley,St. Catherine of Sienna,"Giovanni Battiste Salvi, called Sassoferrato.",Painting,15
1839,Winstanley,"A fine Romantic Landscape, in which is introduced the Story of Mercury and Battus.  A Picture of a very high class",Salvator Rosa,Painting,100
1839,Winstanley,The Entombment of Christ.  A masterly and fine Gallery Picture,Spagnoletto,Painting,70
1839,Winstanley,"A Storm on a Sea Coast, with Figures escaping from a Wreck",Tempesta,Painting,22
1839,Winstanley,"A Ditto [exquisitely-finished small Classic Landscape], with Ruins, and Female Figures.  Companion to the last lot-- both Pictures being of the finest quality of these Masters",Glauber,Painting,13
1839,Winstanley,A Peasant's Family Reposing under Rocks.  A valuable little Picture,Berchem,Painting,11
1839,Winstanley,Travellers Reposing -- a River in the distance,Jan Asselyn,Painting,20
1839,Winstanley,The Companion Picture,George Lambert,Painting,15
1839,Winstanley,A fine Portrait of Charles the First [Fine originals],Vandyck,Painting,82
1839,Winstanley,"Christ on the Cross, attended by the Virgin and St. John",Daniello da Volterra,Painting,15
1804,Coxe (Peter),A Landscape,Ruysdael,Painting,19
1804,Coxe (Peter),Dead Christ with the Virgin Mary,Vasari,Painting,35
1804,Coxe (Peter),An Engagement at Sea,Brooking,Painting,32
1804,Coxe (Peter),"King Charles I. his Queen and Family, from the Orleans' Collection",Vandyck,Painting,1575
1804,Coxe (Peter),Christ taken from the Cross,L. Caracci,Painting,126
1804,Coxe (Peter),Portrait of Bishop Trieste,Vandyck,Painting,173
1804,Coxe (Peter),Portrait of a Nobleman,Titian,Painting,16
1804,Coxe (Peter),St. Peter and St. John at the Gate of the Temple,Stella,Painting,17
1804,Coxe (Peter),The Virgin in the Clouds with Angels,Vandyck,Painting,393
1804,Coxe (Peter),Jacob's Blessing,Guercino,Painting,31
1804,Coxe (Peter),The Nativity,Carlo Maratti,Painting,27
1804,Coxe (Peter),His Own Portrait,Vandyck,Painting,73
1804,Coxe (Peter),The Portraits of Le Duc and his Wife,Terburg,Painting,18
1804,Coxe (Peter),A Holy Family with a Dance of Angels,J. Steen,Painting,22
1804,Coxe (Peter),The Port of Amsterdam,Stork,Painting,49
1804,Coxe (Peter),"St. Jerome, after the famous Parma Picture",Corregio,Painting,52
1836,Foster (Edward),Landscape and Figures; a cabinet gem,Hobbema,Painting,80
1836,Foster (Edward),"The Siege of Namur, with Portraits of King William III.  and his Staff.  Vide Pilkington's Dictionary",Constantine Franck,Painting,27
1836,Foster (Edward),"A View in the Campagna; treated with great skill, the Figures by Jan Miel",Claude,Painting,21
1836,Foster (Edward),"Two Lions, in a wild barren Landscape.  It would appear, that this great artist was conscious of his power to represent these noble animals with all the majesty of nature; having painted a series of four, each with two Lions, but differently arranged",Rubens,Painting,16
1839,Christie's,"A woody landscape, with water-mills -- after",Hobbema,Painting,15
1838,Christie's,"A small landscape, with a river falling among rocks in the foreground",Ruysdael,Painting,13
1838,Christie's,A female saint; the drapery finely cast,Garofalo,Painting,26
1838,Christie's,"A circular temple of rich architecture, with a figure crossing a bridge in the foreground, and a charming sunny distance upright, an exquisite cabinet specimen; from Mr. Hulse's collection",Claude,Painting,47
1838,Christie's,"Ruins of a Roman temple, with classical figures in the foreground; very elegant; from the Fonthill collection of W. Beckford, Esq.",Patel,Painting,24
1838,Christie's,A boy and an ass loaded with panniers; a brilliant specimen from the Duke of Coigni's collection,K. du Jardin,Painting,43
1838,Christie's,"The Virgin and Child enthroned, with an angel presenting an apple, and a bishop in adoration; a beautiful landscape is seen through the opening of a arch, the ornaments of which are richly sculptured, and festoons of fruits are suspended from the figures; an exquisite specimen of this rare master",J. Van Eyck,Painting,28
1838,Christie's,"View among the sand-hills near Scheveling, with fishing-boats drawn up, and many figures, the sea ebbing from a shoaly shore, and vessels discerned on the stormy horizon.  This beautiful picture displays the painter's wonderful knowledge of the effects of Nature.  From the collection of Ralph Bernal, Esq., M.P.",Ruysdael,Painting,111
1838,Christie's,"A view of an Italian sea-port, with a Dutch man-of-war, a fisherman, and other figures in the foreground; brilliant effect of evening sun","Vernet, 1763",Painting,42
1836,Foster (Edward),Moonlight,Pether,Painting,6
1836,Foster (Edward),Eve -- From Marshal Ney's collection,Guercino,Painting,8
1839,Christie's,"St. Jerome in an Architectural Niche: very powerfully coloured, from the Orleans Collection -- engraved",P. Veronese,Painting,17
1839,Christie's,"A Open Landscape, with cottages above a sandy bank, on which is a group of trees, and figures on a road",Wouvermans,Painting,51
1839,Christie's,"Stella deriding Ceres, a female holding a torch before them; from the subject of Elsheimer -- engraved",J. Steen,Painting,29
1839,Christie's,"Cupids, in a landscape, crowning the infant Flora with Chaplets: this very elegant and classical composition is from the Lambertini Palace",Albano,Painting,190
1839,Christie's,A Twelfth-Night Party singing a ballad at a window by torch-light; coloured with admirable effect,Jan Steen,Painting,24
1839,Christie's,"A Dutch Fair, in a landscape with a square tower in the back-ground; a singularly interesting and capital work of the Master",Rembrandt,Painting,98
1839,Christie's,"The Church and Square at Haerlem, with figures by Lingelback",Beerstraten,Painting,38
1836,Foster (Edward),Hercules and Omphale; A Grand Gallery Picture,Guercino,Painting,13
1836,Foster (Edward),The Adoration of the Shepherds,Bassan,Painting,3
1845,Christie's,"A landscape with lofty trees, in the front are two men unloading a cart, and on the opposite side, a peasant, four cows, a sheep, and horse.",Kobell,Painting,37
1845,Christie's,St. John in the Desert.,Murillo,Painting,760
1845,Christie's,The old fish market at Antwerp.,Nenicus,Painting,31
1845,Christie's,His own portrait -- painted previous to his visit to Italy -- engraved.,Sir J. Reynolds,Painting,304
1845,Christie's,Portrait of Mr. Spencer Perceval.,Joseph,Painting,24
1845,Christie's,"A falconer, in a red dress, with dogs.",Cuyp,Painting,15
1836,Foster (Edward),"A View on the Seine, with Boats and Figures; an exquisite effect of Sun-set",Richard Parkes Bonington,Painting,68
1836,Foster (Edward),"A View of Chepstow Castle, morning effect after rain",R.R. Reinagle,Painting,16
1836,Foster (Edward),"A View near Newhaven, Beechey Head in the distance and Figures in the foreground; a charming picture",Richard Parkes Bonington,Painting,35
1836,Foster (Edward),"A View on the Seine, with Barges -- Morning; a capital specimen of the master",Richard Parkes Bonington,Painting,70
1836,Foster (Edward),"A Scene in Normandy, near Dives, with Figures; one of R. P. Bonington's chef-d'oeuvres",Richard Parkes Bonington,Painting,50
1840,Christie's,Dogs fighting,Snyders,Painting,19
1840,Christie's,"A boar at the entrance of a wood, having repulsed the attack of some dogs",Snyders,Painting,21
1840,Christie's,"The Virgin and Child, with St. Francis -- a sketch",Rubens,Painting,14
1805,Christie's,"A Sketch, Italian, and a Landscape, style of",Italian,Painting,1
1805,Christie's,St. Jerome,V. Castelli,Painting,3
1805,Christie's,"Pair of high finished Views in Holland, equal to Vanderheiden",Van Os,Painting,10
1805,Christie's,St. Jerome -- a fine specimen,Schalken,Painting,10
1805,Christie's,The Butcher's Disaster -- spirited,Morland,Painting,12
1805,Christie's,"A Study of a Cow, and a Sea Piece",Witcomb,Painting,1
1839,Christie's,Hagar Ishmael in the desert; the subject beautifully treated,"Westall, R.A.",Painting,15
1839,Christie's,"Interior of a cabaret, with numerous figures celebrating a fête; a capital picture",J. Steen,Painting,100
1839,Christie's,St. Vincent's Rock at Clifton; a capital picture,P. Nasmyth,Painting,20
1838,Christie's,"The Salmon Weir.  This capital picture was executed by the artist during the period at which his work on light and shade was in progress, and exhibits a wonderful knowledge of it as well as rich composition",John Burnet,Painting,65
1838,Christie's,The Virgin and Child,F. Bartolemeo,Painting,19
1838,Christie's,"One of the most powerful and charming pictures of this painter. The scenery is supposed to be drawn from the Rhine; the lucid transparency of the water, and the richness of the aerial tints and reflections, make it full of light and life",Wilson,Painting,95
1838,Christie's,Interior of Antwerp cathedral; an admirable specimen,P. Neefs,Painting,28
1838,Christie's,"A view on the coast of Wales; a storm passing off; a western sky is illumined by a brilliant evening sun; the agitated sea is beating upon the shore, where children are in conversation; one of the finest pictures of the master",John Wilson,Painting,42
1838,Christie's,Fishing-boats and figures on a sea-shore; a capital specimen,Morland,Painting,20
1838,Christie's,John the Baptist,Albano,Painting,4
1839,Christie's,Cavaliers and ladies halting from the chase at the gates of a chateau; brilliantly painted in the manner of Wouvermans,"Querfurt, 1745",Painting,14
1839,Christie's,A seaport,Claude,Painting,80
1839,Christie's,Portrait of Alessandro Medicis; painted for Ottavio Medicis,Pontormo,Painting,9
1839,Christie's,"The Virgin with the Child in her arms, attended by two Angels; a grand composition of this great master",Andrea del Sarto,Painting,61
1839,Christie's,"The Shepherd in adoration before the Infant Christ, who is attended by the Virgin and St. Joseph, with two angels, in a landscape, near some ruins -- a glory seen above; this exquisite specimen is from the Montacatini Gallery, Lucca",Garofalo,Painting,20
1839,Christie's,Head of St. Agnes; the companion,C. Dolce,Painting,9
1839,Christie's,A skirmish of infantry and horsemen on a bridge; very spirited,Borgognone,Painting,15
1839,Christie's,Salvator Mundi,C. Dolce,Painting,13
1839,Christie's,"The Virgin offering flowers to the Infant Christ, who is standing before her; full of lovely character",C. Dolce,Painting,65
1836,Foster (Edward),A Landscape with Sportsman,Morland,Painting,16
1836,Foster (Edward),Moonlight,V. de Neer,Painting,4
1839,Phillips (Harry),A View in Venice,Guardi,Painting,17
1839,Phillips (Harry),Diana and Actaeon,Guercino,Painting,15
1839,Phillips (Harry),A View of the Rialto.  Same [De la Rovere] Collection (damaged by fire),Guardi,Painting,36
1839,Phillips (Harry),The companion,Canaletti,Painting,37
1839,Phillips (Harry),A Hare with accessories,Fyt,Painting,17
1839,Christie's,A boy blowing bubbles; painted with arch character,Murillo,Painting,31
1839,Christie's,Verè tu es Deus absconditus. The Holy Family seated in a fine group near some architecture; this celebrated engraved picture is beautifully coloured and in fine preservation,N. Poussin,Painting,54
1839,Christie's,A group of pastoral figures near a fountain; very elegant,Eyckens,Painting,14
1837,Foster (Edward),David and Bathsheba.,Caracci,Painting,32
1838,Christie's,"The reposo, with angels; a beautiful picture",C. Marratti,Painting,33
1838,Christie's,Portrait of a divine; very spirited,V. der Helst,Painting,8
1838,Christie's,An apartment with Turks at Venice; the admired engraved picture,J. Lewis,Painting,4
1805,Abbott (William),"Venus teaching Cupid to Read, with the Portrait of Nell Gwyn, taken from it by Sir P. Lely  N.B. The same hand Writing appears on the Back of each, intended for proof of the Originality of the Correggio",Sir P. Lely,Painting,45
1805,Abbott (William),"Meleagar and Atalanta, the Boar's Head by Snyders",Rubens,Painting,14
1805,Abbott (William),"A Landscape and Figures, a bold well coloured Picture",Teniers,Painting,15
1836,Foster (Edward),Lanscape and Cattle,A. Vandevelde,Painting,5
1836,Foster (Edward),Christ disputing with the Doctors,De Witt,Painting,4
1836,Foster (Edward),Bacchanalians,Campione,Painting,7
1836,Foster (Edward),Holy Family,Barroccio,Painting,11
1859,Phillips (Harry),The Flight into Egypt.,Sir J. Reynolds,Painting,35
1859,Phillips (Harry),"A set of three finely modelled bronzes of the Venus de Medici, Antinous and Venus Callipyges, by G. Zoffoli.",G. Zoffoli,Sculpture,16
1859,Phillips (Harry),Abelard and Heloise.,Fradelle,Painting,22
1859,Phillips (Harry),The Virgin and Child.,Mabuse,Painting,38
1859,Phillips (Harry),"A Landscape, with full length Portraits of Pierre Both, the first Governor of Batavia, and his Wife, attended by a Negro bearing a parasol; the opposite side of the picture gives a View of the Dutch Fleet at anchor off the ciy of Batavia; beyond which, the distant hilly country of Java is seen.       A highly interesting work of this great master.",Albert Cuyp,Painting,966
1859,Phillips (Harry),Charity.,Romanelli,Painting,13
1859,Phillips (Harry),"Another [finely modelled Old Florentine Bronze] of A Female Sitting on a Pedestal -- emblematical of the Arts, on a granite pedestal.",Florentine,Sculpture,22
